item_id,price,quantity,sold,title,totalSoldQuantity,url,img,titleUnderIconList
597918693978,199.00,0,3286,婴儿/幼儿 轻型保暖WARM PADDED便携式茄克 418734 优衣库UNIQLO,4615,//detail.m.tmall.com/item.htm?id=597918693978,//img.alicdn.com/bao/uploaded/i1/196993935/O1CN01hhRlZG1ewH5E4G84f_!!0-item_pic.jpg,[]
598101174907,299.00,0,3630,女装 灯芯绒宽松茄克 419930 优衣库UNIQLO,8312,//detail.m.tmall.com/item.htm?id=598101174907,//img.alicdn.com/bao/uploaded/i1/196993935/O1CN01jocwbH1ewH4Amr4bf_!!0-item_pic.jpg,[]
599084434149,249.00,0,3439,男装 柔软羊仔毛圆领针织衫(长袖) 419198 优衣库UNIQLO,4532,//detail.m.tmall.com/item.htm?id=599084434149,//img.alicdn.com/bao/uploaded/i1/196993935/O1CN01ZftHeS1ewH5Epnl7h_!!0-item_pic.jpg,[]
598856608015,39.00,0,7548,婴儿/幼儿 紧身裤 420039 优衣库UNIQLO,15321,//detail.m.tmall.com/item.htm?id=598856608015,//img.alicdn.com/bao/uploaded/i3/196993935/O1CN01EnZX8W1ewH5AFpdqc_!!0-item_pic.jpg,[]
596385447805,299.00,0,6222,男装 休闲连帽外套 419961 优衣库UNIQLO,12164,//detail.m.tmall.com/item.htm?id=596385447805,//img.alicdn.com/bao/uploaded/i2/196993935/O1CN016p6X4Z1ewH5Ly42HY_!!0-item_pic.jpg,[]
604793004004,249.00,0,10916,女装 仿羊羔绒摇粒绒拉链V领开衫(长袖) 418245 优衣库UNIQLO,11281,//detail.m.tmall.com/item.htm?id=604793004004,//img.alicdn.com/bao/uploaded/i4/196993935/O1CN01j1SMQM1ewH58rbvwC_!!0-item_pic.jpg,[]
602926737228,149.00,0,3296,女装 (UT) DPJ MICKEY ART连帽运动衫(长袖) 423516 优衣库UNIQLO,3639,//detail.m.tmall.com/item.htm?id=602926737228,//img.alicdn.com/bao/uploaded/i2/196993935/O1CN01y7wSXW1ewH4ufffVx_!!0-item_pic.jpg,[]
605039525046,249.00,0,7708,女装 仿羊羔绒摇粒绒圆领开衫(长袖) 418286 优衣库UNIQLO,7977,//detail.m.tmall.com/item.htm?id=605039525046,//img.alicdn.com/bao/uploaded/i4/196993935/O1CN018lwDWM1ewH5ADaYEM_!!0-item_pic.jpg,[]
573633650157,79.00,0,2494,女装 HEATTECH U领T恤(八分袖) 408235 优衣库UNIQLO,171629,//detail.m.tmall.com/item.htm?id=573633650157,//img.alicdn.com/bao/uploaded/i4/196993935/O1CN01Js9b3P1ewH2nBfVlo_!!0-item_pic.jpg,[]
601010151747,199.00,0,4700,【设计师合作款】女装 蝴蝶结领花式衬衫(长袖) 418994 优衣库,7841,//detail.m.tmall.com/item.htm?id=601010151747,//img.alicdn.com/bao/uploaded/i1/196993935/O1CN01O2KheI1ewH4lGPCzo_!!0-item_pic.jpg,[]
602889391139,79.00,0,3354,女装 HEATTECH 两翻领T恤(长袖) 418326 优衣库UNIQLO,3806,//detail.m.tmall.com/item.htm?id=602889391139,//img.alicdn.com/bao/uploaded/i1/196993935/O1CN01Xtsrz91ewH4mYzraJ_!!0-item_pic.jpg,[]
